LAT,LON,Data_Type,Date,Time,State,County,Town,??,Direction,,,Category,Amount,Measurement,Source,Summary
44.43,-72.23,Extreme Rain,07/11/24,1137 AM,VT,Caledonia,Walden,,,,,RAIN,7.25,Inch,Public,Storm Total Rainfall
44.40104,-72.23,Extreme Rain,07/11/24,1137 AM,VT,Washington,Walden,2,S,,,RAIN,7.1,Inch,Public,Storm Total Rainfall
44.34,-73.11,Extreme Rain,07/11/24,1155 AM,VT,Chittenden,Mechanicsville,,,,,RAIN,6.91,Inch,Public,Storm Total Rainfall
44.33,-73.11,Extreme Rain,07/11/24,548 AM,VT,Chittenden,Hinesburg,,,,,RAIN,6.76,Inch,Public,Storm Total Rainfall
44.23,-73.15,Extreme Rain,07/11/24,1153 AM,VT,Addison,Monkton,,,,,RAIN,6.41,Inch,Public,Storm Total Rainfall
44.4644,-71.99,Extreme Rain,07/11/24,700 AM,VT,Caledonia,St. Johnsbury,,,,,RAIN,6.4,Inch,Mesonet,Storm Total Rainfall
44.2803,-72.7565,Extreme Rain,07/11/24,800 AM,VT,Washington,Moretown,2,N,,,RAIN,6,Inch,CoCoRaHS,Storm Total Rainfall
44.2446,-72.9709,Severe Rain,07/11/24,900 AM,VT,Addison,Starksboro,4,ENE,,,RAIN,5.89,Inch,CoCoRaHS,Storm Total Rainfall
44.3051,-72.7904,Severe Rain,07/11/24,700 AM,VT,Washington,Duxbury,3,SW,,,RAIN,5.85,Inch,CoCoRaHS,Storm Total Rainfall
44.3166,-73.1353,Severe Rain,07/11/24,700 AM,VT,Chittenden,Hinesburg,2,SW,,,RAIN,5.82,Inch,CoCoRaHS,Storm Total Rainfall
44.41,-72.99,Severe Rain,07/11/24,546 AM,VT,Chittenden,Richmond,1,NE,,,RAIN,5.79,Inch,Public,Storm Total Rainfall
44.4242,-72.0219,Severe Rain,07/11/24,700 AM,VT,Caledonia,St. Johnsbury,,N,,,RAIN,5.69,Inch,CoCoRaHS,Storm Total Rainfall
44.2676,-73.0994,Severe Rain,07/11/24,615 AM,VT,Addison,Monkton,2,NE,,,RAIN,5.62,Inch,CoCoRaHS,Storm Total Rainfall
44.3906,-73.0212,Severe Rain,07/11/24,710 AM,VT,Chittenden,Richmond,2,SW,,,RAIN,5.51,Inch,CoCoRaHS,Storm Total Rainfall
44.3414,-73.1117,Severe Rain,07/11/24,631 AM,VT,Chittenden,Hinesburg,1,N,,,RAIN,5.5,Inch,CoCoRaHS,Storm Total Rainfall
44.22,-72.85,Severe Rain,07/11/24,701 AM,VT,Washington,North Fayston,2,SSW,,,RAIN,5.5,Inch,Public,Storm Total Rainfall
44.09,-73.39,Severe Rain,07/11/24,601 AM,VT,Addison,Goodrich Corner,1,SW,,,RAIN,5.39,Inch,Public,Storm Total Rainfall
44.3121,-73.2317,Severe Rain,07/11/24,700 AM,VT,Chittenden,Charlotte,1,E,,,RAIN,5.39,Inch,CoCoRaHS,Storm Total Rainfall
44.48,-72.24,Severe Rain,07/11/24,1136 AM,VT,Caledonia,Goslants Mill,1,NW,,,RAIN,5.32,Inch,Public,Storm Total Rainfall
44.51,-72.24,Severe Rain,07/11/24,1137 AM,VT,Caledonia,North Walden,1,ENE,,,RAIN,5.29,Inch,Public,Storm Total Rainfall
44.5,-72.22,Severe Rain,07/11/24,1013 AM,VT,Caledonia,Stannard,2,S,,,RAIN,5.27,Inch,Public,Storm Total Rainfall
44.1794,-73.3709,Severe Rain,07/11/24,700 AM,VT,Addison,Vergennes,6,W,,,RAIN,5.26,Inch,CoCoRaHS,Storm Total Rainfall
44.14674,-73.06663,Severe Rain,07/11/24,936 AM,VT,Addison,Bristol,1,NE,,,RAIN,5.18,Inch,Public,Storm Total Rainfall
44.3,-73.25,Severe Rain,07/10/24,1100 PM,VT,Chittenden,Charlotte,,,,,RAIN,5.18,Inch,Public,Storm Total Rainfall
44.2747,-72.7531,Severe Rain,07/11/24,700 AM,VT,Washington,Moretown,,,,,RAIN,5.18,Inch,Mesonet,Storm Total Rainfall
44.55,-72.11,Severe Rain,07/11/24,1136 AM,VT,Caledonia,South Wheelock,,,,,RAIN,5.15,Inch,Public,Storm Total Rainfall
44.3002,-72.1195,Severe Rain,07/11/24,625 AM,VT,Caledonia,Barnet,4,W,,,RAIN,5.15,Inch,CoCoRaHS,Storm Total Rainfall
44.4177,-72.1394,Severe Rain,07/11/24,700 AM,VT,Caledonia,Danville,,N,,,RAIN,5.12,Inch,CoCoRaHS,Storm Total Rainfall
44.1695,-73.0213,Severe Rain,07/11/24,820 AM,VT,Addison,STARKSBORO,,,,,RAIN,5.11,Inch,CWOP,Storm Total Rainfall
44.1696,-73.0182,Severe Rain,07/11/24,700 AM,VT,Addison,Bristol,4,NE,,,RAIN,5.11,Inch,CoCoRaHS,Storm Total Rainfall
44.2442,-72.7658,Severe Rain,07/11/24,820 AM,VT,Washington,Waitsfield,4,NE,,,RAIN,5.04,Inch,AWS,Storm Total Rainfall
44.34,-72.75,Severe Rain,07/11/24,703 AM,VT,Washington,Waterbury,,,,,RAIN,5.03,Inch,Public,Storm Total Rainfall
44.84,-72.03,Severe Rain,07/11/24,1155 AM,VT,Orleans,East Charleston,2,WNW,,,RAIN,5.02,Inch,Public,Storm Total Rainfall
44.4497,-72.9264,Heavy Rain,07/11/24,645 AM,VT,Chittenden,Nashville,1,E,,,RAIN,4.91,Inch,Co-Op Observer,Storm Total Rainfall
44.41,-72.01,Heavy Rain,07/11/24,721 AM,VT,Caledonia,Saint Johnsbury,1,SSE,,,RAIN,4.86,Inch,Public,Storm Total Rainfall
44.1841,-73.1201,Heavy Rain,07/11/24,800 AM,VT,Addison,Monkton,3,SE,,,RAIN,4.85,Inch,CoCoRaHS,Storm Total Rainfall
44.4,-73,Heavy Rain,07/11/24,500 AM,VT,Chittenden,Richmond,,,,,RAIN,4.85,Inch,Public,Storm Total Rainfall
44.4171,-72.235,Heavy Rain,07/11/24,700 AM,VT,Washington,Cabot,4,ENE,,,RAIN,4.81,Inch,CoCoRaHS,Storm Total Rainfall
44.6541,-71.6391,Heavy Rain,07/11/24,833 AM,VT,Essex,Maidstone State Park,,,,,RAIN,4.8,Inch,Public,Storm Total Rainfall
44.3715,-72.7022,Heavy Rain,07/11/24,700 AM,VT,Washington,Waterbury,4,NE,,,RAIN,4.8,Inch,CoCoRaHS,Storm Total Rainfall
44.4029,-72.4319,Heavy Rain,07/11/24,550 AM,VT,Washington,Calais,2,N,,,RAIN,4.8,Inch,Trained Spotter,Storm Total Rainfall
44.2462,-72.7419,Heavy Rain,07/11/24,600 AM,VT,Washington,Moretown,1,ESE,,,RAIN,4.8,Inch,CoCoRaHS,Storm Total Rainfall
44.15697,-73.05236,Heavy Rain,07/11/24,952 AM,VT,Addison,Bristol,2,NE,,,RAIN,4.76,Inch,Public,Storm Total Rainfall
44.41,-72.14,Heavy Rain,07/11/24,721 AM,VT,Caledonia,Danville,1,SW,,,RAIN,4.75,Inch,Public,Storm Total Rainfall
44.4111,-72.1392,Heavy Rain,07/11/24,700 AM,VT,Caledonia,Danville,,,,,RAIN,4.7,Inch,Mesonet,Storm Total Rainfall
44.2,-72.5,Heavy Rain,07/11/24,706 AM,VT,Washington,Barre,,,,,RAIN,4.7,Inch,Public,Storm Total Rainfall
44.17,-73.02,Heavy Rain,07/11/24,601 AM,VT,Addison,South Starksboro,1,NNW,,,RAIN,4.64,Inch,Public,Storm Total Rainfall
44.5442,-72.5092,Heavy Rain,07/11/24,700 AM,VT,Lamoille,Wolcott,2,WSW,,,RAIN,4.58,Inch,CoCoRaHS,Storm Total Rainfall
44.91366,-72.01426,Heavy Rain,07/11/24,825 AM,VT,Orleans,Morgan,,,,,RAIN,4.58,Inch,Trained Spotter,Storm Total Rainfall
44.2761,-72.415,Heavy Rain,07/11/24,700 AM,VT,Washington,Plainfield,1,ESE,,,RAIN,4.57,Inch,Co-Op Observer,Storm Total Rainfall
44.7497,-71.6317,Heavy Rain,07/11/24,815 AM,VT,Essex,Connecticut River At North,,,,,RAIN,4.55,Inch,MESOWEST,Storm Total Rainfall
44.22,-73.25,Heavy Rain,07/11/24,600 AM,VT,Addison,Ferrisburgh,1,N,,,RAIN,4.54,Inch,Public,Storm Total Rainfall
44.3978,-72.2656,Heavy Rain,07/11/24,700 AM,VT,Washington,Cabot,,,,,RAIN,4.54,Inch,Mesonet,Storm Total Rainfall
44.24,-72.77,Heavy Rain,07/11/24,702 AM,VT,Washington,South Duxbury,1,SE,,,RAIN,4.53,Inch,Public,Storm Total Rainfall
44.1402,-73.0872,Heavy Rain,07/11/24,645 AM,VT,Addison,Bristol,,,,,RAIN,4.52,Inch,Co-Op Observer,Storm Total Rainfall
44.39006,-72.4465,Heavy Rain,07/11/24,605 AM,VT,Washington,North Calais,,,,,RAIN,4.5,Inch,Public,Storm Total Rainfall
44.3458,-72.5608,Heavy Rain,07/11/24,530 AM,VT,Washington,Middlesex,7,NE,,,RAIN,4.5,Inch,CoCoRaHS,Storm Total Rainfall
44.3663,-73.0153,Heavy Rain,07/11/24,815 AM,VT,Chittenden,RICHMOND,,,,,RAIN,4.49,Inch,CWOP,Storm Total Rainfall
44.292,-72.5797,Heavy Rain,07/11/24,815 AM,VT,Washington,MONTPELIER,,,,,RAIN,4.46,Inch,CWOP,Storm Total Rainfall
44.68,-72.92,Heavy Rain,07/11/24,937 AM,VT,Franklin,Fletcher,,,,,RAIN,4.45,Inch,Public,Storm Total Rainfall
44.5649,-72.0883,Heavy Rain,07/11/24,700 AM,VT,Caledonia,Wheelock,2,S,,,RAIN,4.44,Inch,CoCoRaHS,Storm Total Rainfall
44.6122,-72.0481,Heavy Rain,07/11/24,750 AM,VT,Caledonia,Sutton,,,,,RAIN,4.43,Inch,Co-Op Observer,Storm Total Rainfall
44.3606,-72.8077,Heavy Rain,07/11/24,600 AM,VT,Washington,Waterbury,3,NW,,,RAIN,4.4,Inch,CoCoRaHS,Storm Total Rainfall
44.3981,-72.2657,Heavy Rain,07/11/24,700 AM,VT,Washington,Cabot,2,E,,,RAIN,4.39,Inch,CoCoRaHS,Storm Total Rainfall
44.1719,-73.2472,Heavy Rain,07/11/24,616 AM,VT,Addison,Vergennes,,,,,RAIN,4.35,Inch,Co-Op Observer,Storm Total Rainfall
44.6317,-72.1703,Heavy Rain,07/11/24,700 AM,VT,Caledonia,Sheffield,3,NW,,,RAIN,4.35,Inch,CoCoRaHS,Storm Total Rainfall
44.36,-73.25,Heavy Rain,07/11/24,548 AM,VT,Chittenden,Shelburne,2,SW,,,RAIN,4.35,Inch,Public,Storm Total Rainfall
44.88,-72.41,Heavy Rain,07/11/24,725 AM,VT,Orleans,Westfield,,,,,RAIN,4.34,Inch,Public,Storm Total Rainfall
44.5025,-72.5556,Heavy Rain,07/11/24,700 AM,VT,Lamoille,Elmore,,,,,RAIN,4.33,Inch,Mesonet,Storm Total Rainfall
44.35,-72.13,Heavy Rain,07/11/24,720 AM,VT,Caledonia,East Peacham,2,ENE,,,RAIN,4.32,Inch,Public,Storm Total Rainfall
44.8553,-71.9067,Heavy Rain,07/11/24,500 AM,VT,Orleans,Morgan,7,SE,,,RAIN,4.3,Inch,CoCoRaHS,Storm Total Rainfall
